WARNING: 2 open meshes merged
     Merged: Main Wing
     Merged: Horz Tail
...Mass Properties...
21 Num Comps
21 Total Num Meshes
16312 Total Num Tris

3.525270143430325e+05             Total Mass
1.071134949357679e+02 1.300664493562413e-07 -3.882635284774068e+00       Center of Gravity
2.837036318186080e+08 4.596758273305705e+08 7.165024471132437e+08       Ixx, Iyy, Izz
-5.871781921405172e+03 3.698024200793964e+07 5.755585265506628e+03       Ixy, Ixz, Iyz
8.839850441076839e+04             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
4.742480196672344e+01	2.108390486185874e+04	2.893072101248648e+01	3.179785590387463e-15	-2.166007704404642e+00	1.254575275916655e+06	2.677741624274570e+06	2.136246748266430e+06	-4.289465058504047e+02	1.092814105684793e+05	3.724423166558062e+02	1.487017205071743e+04
4.859578473133390e+01	2.154007033402282e+04	2.934717847698599e+01	3.187258091860461e-15	-2.098191237567110e+00	1.289666892513744e+06	2.873490136696227e+06	2.321190608290473e+06	-4.383721018270105e+02	1.373976868579021e+05	3.807041524966896e+02	1.535952908618023e+04
4.976676749594436e+01	2.199623580618690e+04	2.977064690805331e+01	3.202221310180754e-15	-2.033187572964290e+00	1.324568628438493e+06	3.082636763990328e+06	2.519722527021802e+06	-4.477904494481571e+02	1.659873152730882e+05	3.889719207744967e+02	1.584888612164302e+04
5.093775026055481e+01	2.245240127835098e+04	3.020069898023196e+01	3.220927924052582e-15	-1.970825267473871e+00	1.359292074154465e+06	3.305577739940418e+06	2.732227181847465e+06	-4.572040851389087e+02	1.950214457022495e+05	3.972415130229413e+02	1.633824315710582e+04
5.210873302516526e+01	2.290856675051505e+04	3.063694140443655e+01	3.224544434656377e-15	-1.910946533377428e+00	1.393847868279543e+06	3.542702653409871e+06	2.959083487496224e+06	-4.666241655332804e+02	2.244735298773806e+05	4.055297461579972e+02	1.682760019256861e+04
5.327971578977572e+01	2.336473222267913e+04	3.107901160537688e+01	3.247410545077836e-15	-1.853405905341981e+00	1.428245487524033e+06	3.794395107674842e+06	3.200664844934650e+06	-4.760615741253226e+02	2.543191207662066e+05	4.137607907766181e+02	1.731695722803141e+04
5.445069855438617e+01	2.382089769484321e+04	3.152657478074269e+01	3.277156314414048e-15	-1.798069060563794e+00	1.462494461582499e+06	4.061033230284467e+06	3.457340836197776e+06	-4.855203017337723e+02	2.845355776517546e+05	4.219845427956768e+02	1.780631426349420e+04
5.562168131899663e+01	2.427706316700728e+04	3.197932129193540e+01	3.261606462732426e-15	-1.744811771929006e+00	1.496603076503893e+06	4.342990279145018e+06	3.729476199885619e+06	-4.949836443457447e+02	3.151019946965582e+05	4.302250988896242e+02	1.829567129895700e+04
5.679266408360709e+01	2.473322863917136e+04	3.243696434354291e+01	3.268721782695654e-15	-1.693518977018081e+00	1.530579132111311e+06	4.640635025077358e+06	4.017431987052345e+06	-5.044345163910044e+02	3.459990054053217e+05	4.384649875108518e+02	1.878502833441979e+04
5.796364684821754e+01	2.518939411133544e+04	3.289923791495414e+01	3.256803435832581e-15	-1.644083948269037e+00	1.564429758479208e+06	4.954332192841794e+06	4.321565632821331e+06	-5.138822135814360e+02	3.772086498076823e+05	4.467075591192555e+02	1.927438536988259e+04
5.913462961282800e+01	2.564555958349951e+04	3.336589491272042e+01	3.276998123118464e-15	-1.596407551704042e+00	1.598161703418537e+06	5.284442805681693e+06	4.642231521192280e+06	-5.233399584837507e+02	4.087142584784615e+05	4.549513351353821e+02	1.976374240534538e+04
6.030561237743845e+01	2.610050542201217e+04	3.383546866821350e+01	3.280253401533712e-15	-1.550880397036144e+00	1.631549344920603e+06	5.630285671136817e+06	4.978878333591612e+06	-5.326527997186229e+02	4.401667315642824e+05	4.631971284992807e+02	2.025175296956571e+04
6.147659514204891e+01	2.655416309479282e+04	3.430769628331088e+01	3.207938451885174e-15	-1.507393389258352e+00	1.664592710939422e+06	5.992101142279341e+06	5.331740161568124e+06	-5.418521513860132e+02	4.715388268184469e+05	4.713796385202807e+02	2.073834140336873e+04
6.264757790665936e+01	2.700644567766340e+04	3.478231019629455e+01	3.288663918462501e-15	-1.465852608437277e+00	1.697288154850716e+06	6.370103155844701e+06	5.701025649661128e+06	-5.508901405387470e+02	5.027985054366499e+05	4.796002068322996e+02	2.122341174276893e+04
6.381856067126981e+01	2.745548643731336e+04	3.525720471329539e+01	3.421558312980435e-15	-1.426868459176753e+00	1.729298846372992e+06	6.762774513550057e+06	6.085413728282996e+06	-5.598187301113761e+02	5.333670678937454e+05	4.877204979016072e+02	2.170490312078624e+04
6.498954343588026e+01	2.790113857946629e+04	3.573210577889900e+01	3.782233383390816e-15	-1.390302239294793e+00	1.760624704437452e+06	7.170165673650380e+06	6.484941550282324e+06	-5.686145207597344e+02	5.632152102447714e+05	4.957488025511464e+02	2.218265347705810e+04
6.616052620049072e+01	2.834321447527096e+04	3.620670513062522e+01	4.133408451326353e-15	-1.356044587706184e+00	1.791257932553157e+06	7.592264833482035e+06	6.899586096755745e+06	-5.772632763770521e+02	5.922980799268479e+05	5.037334600585476e+02	2.265645566999560e+04
6.733150896510118e+01	2.878346653510679e+04	3.668276867159591e+01	-2.582645086387604e-08	-1.324853513362876e+00	1.821305418027450e+06	8.030801491968599e+06	7.331293058334915e+06	-5.858550423447947e+02	6.198126899712979e+05	5.115756735289372e+02	2.312556434303521e+04
6.850249172971164e+01	2.926633684641607e+04	3.720776773996177e+01	-2.540034058344620e-08	-1.304356579947887e+00	1.855623108886753e+06	8.530798172979955e+06	7.827564272170993e+06	-5.946405330102099e+02	6.385840419140698e+05	5.201997078465574e+02	2.359522318190790e+04
6.967347449432209e+01	2.981965200188039e+04	3.781018146292948e+01	-2.492903075430147e-08	-1.298587786553128e+00	1.898563332341663e+06	9.123650710098330e+06	8.422737666748103e+06	-6.045198529947345e+02	6.440636415136412e+05	5.301111629701396e+02	2.406864185204925e+04
7.084445725893254e+01	3.046157201395567e+04	3.850631634093774e+01	-5.829490526060366e-08	-1.309585602860098e+00	1.954302809280849e+06	9.831566966643959e+06	9.142411653187430e+06	-6.157078133643780e+02	6.332281477877958e+05	5.419515272288932e+02	2.454784004438465e+04
7.201544002354299e+01	3.120830070675764e+04	3.930809739142077e+01	-5.690006359881310e-08	-1.338311755258861e+00	2.027521562857634e+06	1.067414954559706e+07	1.001029537471456e+07	-6.291522960402820e+02	6.039040122590027e+05	5.556857486975333e+02	2.503457654693783e+04
7.318642278815345e+01	3.207292504606853e+04	4.022139184994119e+01	-5.536614095917376e-08	-1.384798071343705e+00	2.123224430522855e+06	1.166609813472454e+07	1.104576864400785e+07	-6.451514035600502e+02	5.547520984723262e+05	5.713212877992241e+02	2.553023287404879e+04
7.435740555276391e+01	3.306611257213559e+04	4.124671537188040e+01	-5.370314194705110e-08	-1.448098113867370e+00	2.246776839347867e+06	1.281718201510449e+07	1.226393873271364e+07	-6.636705734747220e+02	4.854454841004383e+05	5.894786040697114e+02	2.603619796949504e+04
7.552838831737436e+01	3.416833383464435e+04	4.235259279094831e+01	-5.197076445361795e-08	-1.523765572823965e+00	2.399365815713729e+06	1.410102597117639e+07	1.364047396774764e+07	-6.827663732394293e+02	3.996685599618001e+05	6.095817776512253e+02	2.655372764778317e+04
7.669937108198482e+01	3.648647934404999e+04	4.453479374015807e+01	-4.866883759273415e-08	-1.901920103470589e+00	4.444453288682460e+06	1.679913908454673e+07	1.811071344173082e+07	-7.252078354396654e+02	-4.413000687008991e+04	6.540525423739163e+02	2.726309939091441e+04
7.787035384659528e+01	3.887360352174778e+04	4.658184146143881e+01	-4.535005393064024e-08	-2.243244759390863e+00	6.512078058284037e+06	1.941786677747839e+07	2.254061128932526e+07	-7.689092290126350e+02	-4.592895325405503e+05	6.984351245663945e+02	2.798602580801618e+04
